plane	MB	DlpGBT	TlpGBT
1	0	2	3
1	1	1	3
1	2	2	4
1	3	2	3
1	4	1	2
1	5	1	2
1	6	1	2
1	7	1	2
1	8	1	2
1	9	1	2
1	10	1	2
1	11	1	2
2	0	2	0
2	1	1	0
2	2	2	0
2	3	2	0
2	4	1	0
2	5	1	0
2	6	1	0
2	7	1	0
2	8	1	0
2	9	1	0
2	10	1	0
3	0	2	5
3	1	1	3
3	2	2	5
3	3	2	4
3	4	1	2
3	5	1	2
3	6	1	2
3	7	1	2
3	8	1	2
3	9	1	2
3	10	1	2
3	11	1	2
3	12	1	2
3	13	1	1
4	0	2	0
4	1	1	0
4	2	2	0
4	3	2	0
4	4	1	0
4	5	1	0
4	6	1	0
4	7	1	0
4	8	1	0
4	9	1	0
4	10	1	0
5	0	2	5
5	1	1	3
5	2	2	5
5	3	2	4
5	4	1	2
5	5	1	2
5	6	1	2
5	7	1	2
5	8	1	2
5	9	1	2
5	10	1	2
5	11	1	2
5	12	1	2
6	0	2	0
6	1	1	0
6	2	2	0
6	3	2	0
6	4	1	0
6	5	1	0
6	6	1	0
6	7	1	0
6	8	1	0
6	9	1	0
6	10	1	0
6	11	1	0
7	0	2	4
7	1	1	3
7	2	2	4
7	3	2	3
7	4	1	2
7	5	1	2
7	6	1	2
7	7	1	2
7	8	1	2
7	9	1	2
7	10	1	2
7	11	1	2
8	0	2	0
8	1	1	0
8	2	2	0
8	3	2	0
8	4	1	0
8	5	1	0
8	6	1	0
8	7	1	0
8	8	1	0
8	9	1	0
8	10	1	0
8	11	1	0
9	0	2	3
9	1	1	2
9	2	2	4
9	3	2	3
9	4	1	2
9	5	1	2
9	6	1	2
9	7	1	2
9	8	1	2
9	9	1	2
9	10	1	2
9	11	1	2
10	0	2	0
10	1	1	0
10	2	2	0
10	3	2	0
10	4	1	0
10	5	1	0
10	6	1	0
10	7	1	0
10	8	1	0
10	9	1	0
10	10	1	0
10	11	1	0
11	0	2	3
11	1	1	2
11	2	2	3
11	3	2	2
11	4	1	2
11	5	1	2
11	6	1	2
11	7	1	2
11	8	1	2
11	9	1	2
11	10	1	1
11	11	1	2
12	0	2	0
12	1	1	0
12	2	2	0
12	3	1	0
12	4	1	0
12	5	1	0
12	6	1	0
12	7	1	0
12	8	1	0
12	9	1	0
12	10	1	0
12	11	1	0
13	0	2	2
13	1	1	2
13	2	2	3
13	3	1	2
13	4	1	2
13	5	1	2
13	6	1	2
13	7	1	2
13	8	1	2
13	9	1	2
13	10	1	1
13	11	1	2
14	0	1	0
14	1	1	0
14	2	2	0
14	3	1	0
14	4	1	0
14	5	1	0
14	6	1	0
14	7	1	0
14	8	1	0
14	9	1	0
14	10	1	0
14	11	1	0
15	0	1	2
15	1	1	1
15	2	2	2
15	3	1	2
15	4	1	2
15	5	1	2
15	6	1	2
15	7	1	2
15	8	1	2
15	9	1	2
15	10	1	2
15	11	1	2
16	0	1	0
16	1	1	0
16	2	2	0
16	3	1	0
16	4	1	0
16	5	1	0
16	6	1	0
16	7	1	0
16	8	1	0
16	9	1	0
16	10	1	0
16	11	1	0
17	0	1	2
17	1	1	1
17	2	2	2
17	3	1	2
17	4	1	2
17	5	1	2
17	6	1	2
17	7	1	2
17	8	1	2
17	9	1	2
17	10	1	2
17	11	1	2
18	0	1	0
18	1	1	0
18	2	2	0
18	3	1	0
18	4	1	0
18	5	1	0
18	6	1	0
18	7	1	0
18	8	1	0
18	9	1	0
18	10	1	0
18	11	1	0
19	0	1	2
19	1	1	1
19	2	2	2
19	3	1	1
19	4	1	2
19	5	1	2
19	6	1	2
19	7	1	2
19	8	1	2
19	9	1	2
19	10	1	2
19	11	1	2
20	0	1	0
20	1	1	0
20	2	1	0
20	3	1	0
20	4	1	0
20	5	1	0
20	6	1	0
20	7	1	0
20	8	1	0
20	9	1	0
20	10	1	0
20	11	1	0
21	0	1	2
21	1	1	1
21	2	1	2
21	3	1	1
21	4	1	2
21	5	1	2
21	6	1	2
21	7	1	2
21	8	1	2
21	9	1	2
21	10	1	2
21	11	1	2
22	0	1	0
22	1	1	0
22	2	1	0
22	3	1	0
22	4	1	0
22	5	1	0
22	6	1	0
22	7	1	0
22	8	1	0
22	9	1	0
22	10	1	0
22	11	1	0
23	0	1	2
23	1	1	1
23	2	1	2
23	3	1	1
23	4	1	2
23	5	1	2
23	6	1	2
23	7	1	2
23	8	1	2
23	9	1	2
23	10	1	2
23	11	1	2
24	0	1	0
24	1	1	0
24	2	1	0
24	3	1	0
24	4	1	0
24	5	1	0
24	6	1	0
24	7	1	0
24	8	1	0
24	9	1	0
24	10	1	0
24	11	1	0
25	0	1	2
25	1	1	1
25	2	1	2
25	3	1	1
25	4	1	2
25	5	1	2
25	6	1	2
25	7	1	2
25	8	1	2
25	9	1	2
25	10	1	2
25	11	1	1
25	12	1	1
26	0	1	0
26	1	1	0
26	2	1	0
26	3	1	0
26	4	1	0
26	5	1	0
26	6	1	0
26	7	1	0
26	8	1	0
26	9	1	0
26	10	1	0
26	11	1	0
27	0	1	2
27	1	1	1
27	2	1	1
27	3	1	1
27	4	1	2
27	5	1	1
27	6	1	1
27	7	1	1
27	8	1	2
27	9	1	2
27	10	1	2
27	11	1	2
27	12	1	2
27	13	1	2
27	14	1	2
27	15	1	2
27	16	1	2
27	17	1	2
27	18	1	2
27	19	1	2
27	20	1	2
27	21	1	2
27	22	1	2
27	23	1	2
27	24	1	1
27	25	1	1
28	0	1	2
28	1	1	2
28	2	1	1
28	3	1	1
28	4	1	1
28	5	1	1
28	6	1	1
28	7	1	1
28	8	1	2
28	9	1	2
28	10	1	2
28	11	1	2
28	12	1	2
28	13	1	2
28	14	1	2
28	15	1	2
28	16	1	2
28	17	1	2
28	18	1	2
28	19	1	2
28	20	1	2
28	21	1	2
28	22	1	1
28	23	1	1
28	24	1	2
28	25	1	2
29	0	1	2
29	1	1	1
29	2	1	1
29	3	1	1
29	4	1	2
29	5	1	1
29	6	1	1
29	7	1	1
29	8	1	2
29	9	1	2
29	10	1	2
29	11	1	2
29	12	1	2
29	13	1	2
29	14	1	2
29	15	1	2
29	16	1	2
29	17	1	2
29	18	1	2
29	19	1	2
29	20	1	2
29	21	1	2
29	22	1	2
29	23	1	2
29	24	1	1
29	25	1	1
30	0	1	1
30	1	1	1
30	2	1	1
30	3	1	1
30	4	1	1
30	5	1	1
30	6	1	1
30	7	1	1
30	8	1	0
30	9	1	2
30	10	1	2
30	11	1	2
30	12	1	2
30	13	1	2
30	14	1	2
30	15	1	2
30	16	1	2
30	17	1	2
30	18	1	2
30	19	1	2
30	20	1	2
30	21	1	2
30	22	1	1
30	23	1	1
30	24	1	2
30	25	1	2
31	0	1	1
31	1	1	2
31	2	1	1
31	3	1	1
31	4	1	1
31	5	1	1
31	6	1	1
31	7	1	1
31	8	1	2
31	9	1	2
31	10	1	2
31	11	1	2
31	12	1	2
31	13	1	2
31	14	1	2
31	15	1	2
31	16	1	2
31	17	1	2
31	18	1	2
31	19	1	2
31	20	1	2
31	21	1	2
31	22	1	2
31	23	1	2
31	24	1	2
31	25	1	2
32	0	1	1
32	1	1	1
32	2	1	1
32	3	1	1
32	4	1	1
32	5	1	1
32	6	1	1
