plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 1 2 dIe -0.002 290.016 4 5 -83.718 338.396 -83.729 316.578 83.695 316.564 83.705 338.382 0.047 386.682 -83.718 338.396 0.0 0.0 1 1 4.57 5.0 1.523 2.0 1.523 2.0 102 0 False 3 3.6 0 90.0 1 101020 101021 1300.0 1310.0 A A N
1 1 3 FI -83.725 435.025 2 6 0.047 386.682 -0.018 483.368 -83.763 531.718 -167.442 483.382 -167.463 386.746 -83.718 338.396 0.047 386.682 1 1 7.044 8.0 2.843 3.0 3.391 4.0 102 0 False 6 7.2 0 100.894 1 101030 101031 1300.0 1310.0 A A N
1 1 4 FI -167.438 580.028 2 6 -83.763 531.718 -83.742 628.355 -167.487 676.705 -251.166 628.368 -251.187 531.732 -167.442 483.382 -83.763 531.718 1 1 4.799 5.0 1.975 3.0 2.096 3.0 102 0 False 6 7.2 0 106.102 1 101040 101041 1300.0 1310.0 A A N
1 1 5 FI -251.161 725.037 2 6 -167.487 676.705 -167.466 773.341 -251.21 821.691 -334.889 773.355 -334.91 676.718 -251.166 628.368 -167.487 676.705 1 1 3.419 4.0 1.487 2.0 1.515 2.0 102 0 True 6 7.2 0 109.107 1 101050 101051 1300.0 1310.0 A A N
1 1 6 FO -334.883 870.046 5 6 -251.21 821.691 -251.139 918.414 -334.884 966.764 -418.613 918.341 -418.634 821.705 -334.889 773.355 -251.21 821.691 1 1 2.902 3.0 0.952 1.0 0.908 1.0 104 1 False 3 3.6 0 111.052 0 101060 101060 1300.0 1310.0 A A N
1 1 7 FO -418.605 1015.054 5 6 -334.884 966.764 -334.863 1063.4 -418.608 1111.75 -502.287 1063.414 -502.358 966.691 -418.613 918.341 -334.884 966.764 1 1 2.327 3.0 0.755 1.0 0.718 1.0 104 1 False 3 3.6 0 112.411 0 101070 101070 1300.0 1310.0 A A E
1 1 8 FO -502.328 1160.063 5 6 -418.608 1111.75 -418.587 1208.386 -502.331 1256.736 -586.01 1208.4 -586.031 1111.764 -502.287 1063.414 -418.608 1111.75 1 1 1.766 2.0 0.599 1.0 0.576 1.0 104 0 True 3 3.6 0 113.413 0 101080 101080 1300.0 1310.0 A A W
1 1 9 bOe -586.041 1305.066 3 5 -586.055 1401.723 -669.755 1256.75 -586.01 1208.4 -502.331 1256.736 -502.31 1353.373 -586.055 1401.723 0.0 0.0 1 1 1.292 2.0 0.192 1.0 0.192 1.0 104 0 False 3 3.6 0 114.183 0 101090 101090 1300.0 1310.0 A A N
1 2 0 gIe 334.88 0.0 3 6 334.9 96.7 316.0 85.8 316.0 -85.8 334.9 -96.7 418.6 -48.3 418.6 48.3 334.9 96.7 0 0 6.631 7.0 2.711 3.0 2.711 3.0 0 0 False 6 7.2 0 0.0 1 102000 102001 1001.0 1010.0 B A N
1 2 1 dIe 251.16 145.01 3 5 251.2 241.7 232.3 230.8 316.0 85.8 334.9 96.7 334.9 193.3 251.2 241.7 0.0 0.0 0 1 4.57 5.0 1.523 2.0 1.523 2.0 2 0 False 3 3.6 0 30.0 1 102010 102011 1100.0 1110.0 A A N
1 2 2 gIe 167.44 290.015 4 6 83.705 338.382 83.695 316.564 232.305 230.764 251.195 241.682 251.129 338.368 167.471 386.668 83.705 338.382 1 0 6.631 7.0 2.711 3.0 2.711 3.0 100 0 False 6 7.2 0 60.0 1 102020 102021 1201.0 1210.0 B A N
1 2 3 FI 83.718 435.023 2 6 167.471 386.668 167.405 483.355 83.747 531.655 -0.018 483.368 0.047 386.682 83.705 338.382 167.471 386.668 1 1 7.039 8.0 2.853 3.0 3.408 4.0 103 0 False 6 7.2 0 79.107 1 102030 102031 1300.0 1310.0 A A N
1 2 4 FI -0.005 580.032 2 6 83.747 531.655 83.682 628.341 -0.063 676.691 -83.742 628.355 -83.763 531.718 -0.018 483.368 83.747 531.655 1 1 5.07 6.0 2.068 3.0 2.216 3.0 103 0 False 6 7.2 0 90.0 1 102040 102041 1300.0 1310.0 A A N
1 2 5 FI -83.718 725.036 2 6 -0.063 676.691 0.008 773.414 -83.737 821.764 -167.466 773.341 -167.487 676.705 -83.742 628.355 -0.063 676.691 1 1 3.661 4.0 1.579 2.0 1.62 2.0 103 0 True 6 7.2 0 96.587 1 102050 102051 1300.0 1310.0 A A N
